DAS,Radn,tmax,tmin,VPDobs
30,27,32.3,16.4,19
31,27,31,15.8,17
32,14,26.6,15.6,16
33,24,26,10,14
34,23,26.6,11.7,12
35,21,29.5,13,15
36,23,30.8,16.5,18
37,25,32.5,13.8,19
38,17,32.3,16.7,23
39,14,25.2,16.7,21
40,26,27.8,15.8,15
41,26,28.2,12.8,14
42,10,27.3,17.3,20
43,26,28.6,11.3,16
44,30,28.6,13.7,17
45,27,28.3,13.4,17
46,27,27.6,13.7,15
47,29,31,12.2,15
48,27,35,14.7,16
49,26,34.3,20.4,17
50,25,31.2,15.5,18
51,23,32.7,17.9,21
52,14,29.9,18.4,22
53,25,30.8,16,17
54,22,31.2,16.1,18
55,20,28.4,18,20
56,22,27.7,14.9,18
57,24,31.4,16,19
58,28,33,16.2,19
59,25,33.2,17.2,20
60,25,32.7,18.3,21